customer_id,name,city,segment,signup_date
CUST0001,James Brown,Los Angeles,Business,2025-12-25
CUST0002,Joseph Garcia,New York,Consumer,2025-11-23
CUST0003,Mary Davis,New York,Consumer,2026-03-24
CUST0004,Susan Wilson,Houston,Business,2026-02-27
CUST0005,Michael Davis,Philadelphia,Business,2026-01-28
CUST0006,Patricia Garcia,Houston,Consumer,2026-03-21
CUST0007,Linda Brown,Phoenix,Business,2025-12-12
CUST0008,Michael Moore,Philadelphia,Premium,2025-11-03
CUST0009,Susan Johnson,Chicago,Consumer,2026-03-15
CUST0010,Michael Williams,Phoenix,Consumer,2026-01-03
CUST0011,Elizabeth Brown,Chicago,Consumer,2025-11-02
CUST0012,Robert Miller,Phoenix,Business,2026-03-09
CUST0013,Joseph Brown,Houston,Business,2026-01-15
CUST0014,Mary Brown,New York,Consumer,2025-11-05
CUST0015,William Brown,Houston,Business,2026-01-08
CUST0016,Joseph Williams,New York,Consumer,2025-12-03
CUST0017,Joseph Miller,New York,Consumer,2026-02-22
CUST0018,Jessica Smith,Phoenix,Business,2026-02-15
CUST0019,David Jones,Los Angeles,Consumer,2026-01-05
CUST0020,Barbara Johnson,Chicago,Consumer,2025-10-09
CUST0021,Mary Johnson,Los Angeles,Business,2026-03-04
CUST0022,Linda Moore,Chicago,Consumer,2025-09-28
CUST0023,David Williams,Phoenix,Consumer,2026-03-23
CUST0024,Richard Garcia,New York,Business,2025-10-28
CUST0025,Patricia Garcia,Phoenix,Premium,2026-01-09
CUST0026,Linda Johnson,Chicago,Premium,2026-02-21
CUST0027,Barbara Davis,Phoenix,Premium,2025-11-30
CUST0028,Barbara Smith,Philadelphia,Consumer,2026-01-09
CUST0029,William Wilson,Phoenix,Consumer,2025-10-02
CUST0030,Robert Jones,Philadelphia,Consumer,2026-01-01
CUST0031,William Williams,Chicago,Business,2025-10-21
CUST0032,Michael Davis,Philadelphia,Consumer,2025-12-28
CUST0033,Michael Wilson,Houston,Consumer,2026-03-18
CUST0034,Jessica Johnson,New York,Consumer,2025-12-30
CUST0035,Robert Wilson,Los Angeles,Consumer,2025-10-20
CUST0036,Susan Smith,Los Angeles,Consumer,2025-11-16
CUST0037,Linda Miller,Phoenix,Consumer,2026-02-26
CUST0038,Linda Smith,Los Angeles,Consumer,2025-10-29
CUST0039,David Moore,Philadelphia,Consumer,2025-12-28
CUST0040,Richard Wilson,Houston,Consumer,2026-03-13
CUST0041,David Brown,Philadelphia,Consumer,2026-01-05
CUST0042,James Moore,Chicago,Premium,2025-12-26
CUST0043,Joseph Williams,Chicago,Business,2026-03-09
CUST0044,John Brown,Chicago,Business,2025-12-24
CUST0045,Patricia Johnson,Los Angeles,Premium,2026-03-24
CUST0046,Mary Wilson,Chicago,Consumer,2025-10-11
CUST0047,John Johnson,Philadelphia,Business,2025-10-08
CUST0048,William Smith,New York,Consumer,2026-03-04
CUST0049,William Wilson,Houston,Business,2026-02-18
CUST0050,Jessica Wilson,Phoenix,Consumer,2025-11-18
CUST0051,William Brown,Los Angeles,Business,2026-01-26
CUST0052,Patricia Davis,Philadelphia,Consumer,2025-12-02
CUST0053,Jennifer Johnson,New York,Premium,2026-01-27
CUST0054,Mary Davis,Chicago,Consumer,2025-10-11
CUST0055,John Garcia,Phoenix,Consumer,2026-03-19
CUST0056,Barbara Miller,Phoenix,Premium,2026-03-11
CUST0057,Barbara Williams,Phoenix,Consumer,2025-10-28
CUST0058,David Wilson,New York,Premium,2026-01-20
CUST0059,Richard Johnson,Phoenix,Business,2025-12-20
CUST0060,John Miller,Los Angeles,Business,2026-03-21
CUST0061,Richard Jones,Phoenix,Business,2026-02-26
CUST0062,William Johnson,Philadelphia,Business,2026-01-06
CUST0063,John Wilson,Los Angeles,Business,2025-10-25
CUST0064,Joseph Smith,Houston,Consumer,2025-09-29
CUST0065,Barbara Jones,Chicago,Consumer,2026-02-12
CUST0066,Robert Johnson,New York,Consumer,2026-03-08
CUST0067,Mary Moore,Chicago,Consumer,2026-02-19
CUST0068,Linda Wilson,New York,Premium,2025-10-19
CUST0069,Joseph Moore,New York,Consumer,2026-03-22
CUST0070,Linda Garcia,Los Angeles,Consumer,2026-03-01
CUST0071,Joseph Moore,New York,Business,2025-12-14
CUST0072,Richard Williams,Houston,Consumer,2026-03-01
CUST0073,Jessica Williams,Los Angeles,Consumer,2026-02-03
CUST0074,Mary Garcia,New York,Consumer,2026-02-22
CUST0075,Robert Johnson,New York,Business,2026-03-04
CUST0076,Robert Davis,Houston,Consumer,2025-11-06
CUST0077,John Miller,Houston,Premium,2026-03-22
CUST0078,Michael Davis,Phoenix,Consumer,2025-12-22
CUST0079,Mary Smith,Philadelphia,Consumer,2025-12-28
CUST0080,Jessica Smith,Chicago,Consumer,2026-03-25
CUST0081,Jessica Moore,Los Angeles,Consumer,2025-10-08
CUST0082,Robert Johnson,Houston,Consumer,2026-01-28
CUST0083,Joseph Brown,Los Angeles,Premium,2025-10-18
CUST0084,Mary Williams,Phoenix,Consumer,2025-11-13
CUST0085,Joseph Moore,Philadelphia,Consumer,2026-03-13
CUST0086,Mary Smith,Phoenix,Consumer,2026-01-11
CUST0087,Elizabeth Davis,New York,Consumer,2026-01-29
CUST0088,David Davis,New York,Consumer,2026-01-19
CUST0089,Barbara Smith,Chicago,Consumer,2026-01-22
CUST0090,Susan Johnson,Houston,Business,2025-12-12
CUST0091,Barbara Jones,Houston,Consumer,2026-03-12
CUST0092,Jessica Williams,Phoenix,Consumer,2026-01-02
CUST0093,Susan Williams,New York,Consumer,2026-01-24
CUST0094,Susan Johnson,New York,Premium,2026-03-14
CUST0095,John Brown,Chicago,Business,2026-02-11
CUST0096,Elizabeth Johnson,Phoenix,Consumer,2026-03-22
CUST0097,William Smith,Chicago,Premium,2026-01-22
CUST0098,James Jones,Phoenix,Consumer,2026-03-25
CUST0099,Jennifer Moore,Chicago,Consumer,2026-03-08
CUST0100,Mary Brown,Phoenix,Consumer,2025-12-05
CUST0101,Richard Jones,Houston,Consumer,2026-03-15
CUST0102,Barbara Jones,Los Angeles,Business,2026-01-10
CUST0103,Jennifer Jones,Houston,Business,2025-10-30
CUST0104,Jennifer Jones,Philadelphia,Premium,2026-03-17
CUST0105,Jennifer Moore,Los Angeles,Business,2026-02-19
CUST0106,David Moore,New York,Consumer,2026-01-17
CUST0107,David Smith,Phoenix,Business,2025-10-08
CUST0108,Susan Johnson,Los Angeles,Consumer,2025-10-20
CUST0109,William Smith,New York,Consumer,2026-02-26
CUST0110,James Brown,Los Angeles,Business,2026-02-22
CUST0111,John Garcia,Philadelphia,Business,2026-03-16
CUST0112,Mary Miller,New York,Business,2025-12-07
CUST0113,James Davis,Los Angeles,Premium,2026-03-15
CUST0114,Linda Miller,Philadelphia,Consumer,2025-10-14
CUST0115,Robert Brown,Philadelphia,Premium,2026-02-14
CUST0116,Patricia Moore,Phoenix,Consumer,2026-03-06
CUST0117,David Brown,Los Angeles,Consumer,2026-02-24
CUST0118,Linda Moore,Philadelphia,Consumer,2025-10-01
CUST0119,Robert Garcia,Phoenix,Consumer,2025-10-13
CUST0120,Joseph Williams,Houston,Consumer,2025-10-21
CUST0121,Patricia Wilson,Los Angeles,Business,2025-09-30
CUST0122,David Davis,Philadelphia,Business,2025-10-17
CUST0123,Jennifer Davis,New York,Consumer,2025-10-06
CUST0124,Mary Wilson,Phoenix,Consumer,2026-03-03
CUST0125,Jessica Johnson,Philadelphia,Business,2025-12-09
CUST0126,John Wilson,New York,Business,2025-12-18
CUST0127,Patricia Smith,New York,Consumer,2025-09-26
CUST0128,Susan Moore,Los Angeles,Consumer,2026-03-08
CUST0129,Barbara Johnson,New York,Consumer,2025-12-07
CUST0130,Richard Wilson,Chicago,Business,2026-03-14
CUST0131,Joseph Brown,Philadelphia,Consumer,2025-11-02
CUST0132,Jessica Miller,Chicago,Consumer,2026-03-09
CUST0133,Barbara Johnson,Houston,Premium,2025-12-01
CUST0134,Robert Wilson,New York,Premium,2025-10-18
CUST0135,David Davis,New York,Business,2026-02-01
CUST0136,William Miller,Philadelphia,Consumer,2025-10-27
CUST0137,Elizabeth Johnson,Chicago,Business,2025-12-29
CUST0138,Richard Smith,Los Angeles,Business,2025-12-30
CUST0139,Michael Jones,Phoenix,Business,2025-10-08
CUST0140,John Smith,Houston,Business,2025-10-09
CUST0141,Elizabeth Davis,Chicago,Consumer,2026-03-24
CUST0142,Robert Smith,Philadelphia,Consumer,2025-11-15
