CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy,UpdatedBy,GoldLoadTimestamp
CID-001,Individual,VIP,1960-03-18,2019-01-01,True,Tsehayetu,Abera,Female,(985) 555-0158,None,tsehayetu@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-002,Government,Local,1960-01-14,2019-01-05,False,Antra,Abola,Female,(765) 555-0191,(470) 555-0206,antra@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-003,Business,SMB,1964-12-28,2019-01-10,True,Ida,Abolina,Female,(717) 555-0103,None,ida@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-004,Individual,Standard,1996-05-11,2019-01-14,True,Deniz,Acar,Male,(952) 555-0195,None,deniz@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-005,Individual,Premium,1976-12-07,2019-01-19,True,Guner,Aktas,Male,(843) 555-0165,None,guner@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-006,Individual,VIP,1950-04-29,2019-01-24,True,Danaite,Alemseged,Female,(959) 555-0102,None,danaite@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-007,Individual,Standard,1986-02-01,2019-01-28,True,Asmerom,Ambaye,Male,(860) 555-0107,(701) 555-0262,asmerom@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-008,Business,SMB,1957-12-30,2019-02-02,True,Kiana,Anderson,Female,(941) 555-0114,None,kiana@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-009,Individual,Standard,1964-10-02,2019-02-07,False,Jakob,Anhalt,Male,(657) 555-0130,None,jakob@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-010,Business,Partner,1986-02-03,2019-02-11,True,Elisabeth,Arcouet,Female,(740) 555-0144,None,elisabeth@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-011,Individual,Premium,1953-04-29,2019-02-16,True,Enric,Argilaguet,Male,(914) 555-0170,None,enric@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-012,Government,State,1970-05-12,2019-02-20,True,Ernest,Arquimbau,Male,(469) 555-0156,None,ernest@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-013,Business,SMB,1955-09-10,2019-02-25,True,Murat,Arslan,Male,(956) 555-0173,None,murat@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-014,Individual,Standard,1960-04-05,2019-03-02,False,Winta,Asemelash,Female,(816) 555-0117,None,winta@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-015,Individual,Standard,1950-03-13,2019-03-06,True,Gokce,Aslan,Female,(731) 555-0192,(508) 555-0213,gokce@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
